,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,shortwave_radiation_sum
0,2022-01-01 05:00:00,11.5725,7.4225,9.605833,10.621353,5.6684523,8.392408,26.5,1.61
1,2022-01-02 05:00:00,13.6225,2.0225,9.101666,11.198116,-3.44729,6.312523,8.8,2.57
2,2022-01-03 05:00:00,1.6225001,-4.7775,-1.5795833,-3.709321,-10.994707,-7.9731297,1.9000001,1.36
3,2022-01-04 05:00:00,0.6225,-6.5775,-3.1191664,-4.213054,-12.3623905,-8.126157,0.0,9.23
4,2022-01-05 05:00:00,6.9725,-2.1275,2.0745833,2.6015902,-7.4814973,-1.9401445,0.3,3.19
5,2022-01-06 05:00:00,4.1225,-0.2775,1.6995832,-1.1360676,-4.504116,-2.9947274,0.1,8.41
6,2022-01-07 05:00:00,-0.32750002,-6.0775,-2.0691664,-5.6345625,-11.753696,-7.810501,8.9,9.17
7,2022-01-08 05:00:00,-2.5774999,-8.9275,-5.8858323,-6.9061947,-13.583293,-10.897935,0.0,10.17
8,2022-01-09 05:00:00,4.0725,-5.0275,0.6266668,-0.10236168,-10.154991,-4.2066884,4.9999995,3.48
9,2022-01-10 05:00:00,3.8225002,-4.2275,-1.8295835,-0.72229743,-10.713184,-8.0504675,0.0,10.02
10,2022-01-11 05:00:00,-4.5275,-8.6775,-7.223333,-11.092882,-16.098991,-13.514262,0.0,10.06
11,2022-01-12 05:00:00,4.6225,-7.0775,-1.9545833,-1.0504804,-12.841835,-7.388399,0.0,8.68
12,2022-01-13 05:00:00,6.9225,-3.3274999,1.0204165,3.266687,-7.1149797,-2.535508,0.0,8.23
13,2022-01-14 05:00:00,5.0725,-5.4275,1.2433335,-1.9159784,-12.03209,-4.5945644,0.0,8.15
14,2022-01-15 05:00:00,-5.2275,-11.0775,-8.292083,-10.903292,-17.688843,-14.401202,0.0,9.86
15,2022-01-16 05:00:00,2.6725001,-13.2275,-6.148333,-3.9520626,-18.590492,-11.710883,6.8,5.32
16,2022-01-17 05:00:00,9.1725,0.022499993,3.3183334,0.92692566,-6.8951936,-2.927482,33.599995,4.19
17,2022-01-18 05:00:00,2.0225,-5.0775,-1.2066666,-4.971651,-10.172123,-7.372233,0.0,8.09
18,2022-01-19 05:00:00,7.6225,-4.3775,2.0370834,2.157073,-8.178256,-2.7865498,0.0,6.88
19,2022-01-20 05:00:00,4.7225,-6.3775,0.2266667,0.21706152,-13.232531,-5.043584,7.1,5.71
20,2022-01-21 05:00:00,-5.1775,-11.3775,-8.265,-11.717772,-18.101189,-14.843825,0.0,9.61
