,Vehicle ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count,Engine Description,Manufacturer,Manufacturer URL,Category,Fuel Code,Fuel,Fuel Configuration Name
0,13044,45.0,9.0,365.0,27.0,NSX,2022.0,128.66666666666666,21.0,22.0,Auto,SI,3.5L,6.0,3.5L V6,Acura,http://www.acura.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric
1,12854,45.0,9.0,377.0,27.0,A3 ,2022.0,77.0,29.0,38.0,Auto,SI,2.0L,4.0,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric
2,12842,45.0,9.0,377.0,27.0,A3 quattro,2022.0,77.0,28.0,36.0,Auto,SI,2.0L,4.0,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric
3,12783,45.0,9.0,377.0,27.0,A4 allroad quattro,2022.0,77.0,24.0,30.0,Auto,SI,2.0L,4.0,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric
4,12782,45.0,9.0,377.0,27.0,A4 quattro,2022.0,77.0,26.0,34.0,Auto,SI,2.0L,4.0,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric
5,12784,45.0,9.0,377.0,27.0,A4 S line quattro,2022.0,77.0,24.0,31.0,Auto,SI,2.0L,4.0,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric
6,12786,45.0,9.0,377.0,27.0,A5 Cabriolet quattro,2022.0,77.0,23.0,31.0,Auto,SI,2.0L,4.0,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric
7,12785,45.0,9.0,377.0,27.0,A5 Coupe quattro,2022.0,77.0,24.0,31.0,Auto,SI,2.0L,4.0,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric
8,12787,45.0,9.0,377.0,27.0,A5 Sportback quattro,2022.0,77.0,26.0,34.0,Auto,SI,2.0L,4.0,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric
9,12788,45.0,9.0,377.0,27.0,A5 Sportback S line quattro,2022.0,77.0,24.0,31.0,Auto,SI,2.0L,4.0,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric
