fecha,total_amount
2022-10-01,2210234.76
2022-10-02,2011768.02
2022-10-03,2124617.91
2022-10-04,2143335.78
2022-10-05,2223016.74
2022-10-06,2589819.75
2022-10-07,2599559.17
2022-10-08,2441942.13
2022-10-09,2150124.78
2022-10-10,2047153.0
2022-10-11,2469776.31
2022-10-12,2572464.79
2022-10-13,2658040.69
2022-10-14,2629575.08
2022-10-15,2531795.38
2022-10-16,2311780.12
2022-10-17,2315674.38
2022-10-18,2554770.91
2022-10-19,2662326.06
2022-10-20,2747322.17
2022-10-21,2695212.92
2022-10-22,2516789.97
2022-10-23,2233814.47
2022-10-24,2246399.7
2022-10-25,2468552.72
2022-10-26,2663947.41
2022-10-27,2783233.29
2022-10-28,2691806.61
2022-10-29,2470910.87
2022-10-30,2222105.86
2022-10-31,2029723.59
2022-11-01,2410880.76
2022-11-02,2534815.22
2022-11-03,2702500.8
2022-11-04,2640568.35
2022-11-05,2539333.32
2022-11-06,2177482.67
2022-11-07,2352715.43
2022-11-08,2347776.27
2022-11-09,2604191.68
2022-11-10,2742430.97
2022-11-11,2420435.57
2022-11-12,2533766.2
2022-11-13,2381234.39
2022-11-14,1724797.45
2022-11-15,1831436.28
2022-11-16,1881797.93
2022-11-17,1967187.41
2022-11-18,1898274.92
2022-11-19,1822384.28
2022-11-20,1616727.75
2022-11-21,2115761.24
2022-11-22,2260991.25
2022-11-23,2069088.72
2022-11-24,1287200.57
2022-11-25,1656350.87
2022-11-26,2026161.99
2022-11-27,1951875.82
2022-11-28,2301732.71
2022-11-29,2433205.9
2022-11-30,2414489.06
2022-12-01,2712267.67
2022-12-02,2655804.1
2022-12-03,2476413.56
2022-12-04,2378853.3
2022-12-05,2380364.79
2022-12-06,2492642.49
2022-12-07,2656258.34
2022-12-08,2892908.28
2022-12-09,2787856.57
2022-12-10,2520247.91
2022-12-11,2259052.0
2022-12-12,2304580.06
2022-12-13,2497122.26
2022-12-14,2593564.47
2022-12-15,2687120.07
2022-12-16,2541584.0
2022-12-17,2448917.33
2022-12-18,2098774.83
2022-12-19,2843081.11
2022-12-20,2969675.94
2022-12-21,2971901.39
2022-12-22,2691420.1
2022-12-23,2344711.43
2022-12-24,1734950.14
2022-12-25,1309136.93
2022-12-26,1851478.6
2022-12-27,2429803.81
2022-12-28,2483678.48
2022-12-29,2607217.63
2022-12-30,2616834.29
2022-12-31,2103879.46
2023-01-01,1345623.47
2023-01-02,1026448.77
2023-01-03,1454714.1
2023-01-04,1701298.29
2023-01-05,1822712.52
2023-01-06,1856355.99
2023-01-07,1883115.17
2023-01-08,1420446.93
2023-01-09,1476226.34
2023-01-10,1824469.52
2023-01-11,1948390.26
2023-01-12,2055463.35
2023-01-13,1974885.18
2023-01-14,2064661.07
2023-01-15,1692251.75
2023-01-16,1277295.23
2023-01-17,1812224.48
2023-01-18,1973981.87
2023-01-19,2184546.71
2023-01-20,2008561.58
2023-01-21,2067622.63
2023-01-22,1550994.02
2023-01-23,1555432.63
2023-01-24,1931351.38
2023-01-25,2051137.52
2023-01-26,2140072.86
2023-01-27,2051086.24
2023-01-28,2093641.01
2023-01-29,1539255.89
2023-01-30,1465700.21
2023-01-31,1899731.97
2023-02-01,1987136.37
2023-02-02,2098836.56
2023-02-03,2088013.83
2023-02-04,1768321.9
2023-02-05,1438492.91
2023-02-06,1594598.08
2023-02-07,1962029.08
2023-02-08,2030979.56
2023-02-09,2155229.09
2023-02-10,2123901.21
2023-02-11,2158779.25
2023-02-12,1624658.82
2023-02-13,1642012.28
2023-02-14,2066089.34
2023-02-15,2044280.72
2023-02-16,2105890.37
2023-02-17,2028981.21
2023-02-18,1929883.71
2023-02-19,1592209.03
2023-02-20,1253756.99
2023-02-21,1783307.8
2023-02-22,2071460.37
2023-02-23,2148726.61
2023-02-24,2107706.04
2023-02-25,2089986.12
2023-02-26,1559377.21
2023-02-27,1608213.83
2023-02-28,1787380.02
2023-03-01,2151312.42
2023-03-02,2232546.14
2023-03-03,2131845.31
2023-03-04,2094718.94
2023-03-05,1697112.09
2023-03-06,1644560.58
2023-03-07,2131053.51
2023-03-08,2242345.7
2023-03-09,2306037.56
2023-03-10,2265523.05
2023-03-11,2024483.66
2023-03-12,1625819.64
2023-03-13,1770952.79
2023-03-14,1974295.47
2023-03-15,2287531.42
2023-03-16,2383462.2
2023-03-17,2149927.75
2023-03-18,2262675.74
2023-03-19,1734137.86
2023-03-20,1552189.58
2023-03-21,1869569.37
2023-03-22,1984147.61
2023-03-23,2113697.44
2023-03-24,2009745.66
2023-03-25,2103417.53
2023-03-26,1630135.41
2023-03-27,1671984.24
2023-03-28,1932907.17
2023-03-29,2078259.7
2023-03-30,2240057.78
2023-03-31,2112074.24
2023-04-01,2116603.47
2023-04-02,1740825.12
2023-04-03,1743653.66
2023-04-04,2006095.28
2023-04-05,2227007.44
2023-04-06,1985020.08
2023-04-07,1926396.02
2023-04-08,1870124.67
2023-04-09,1520346.03
2023-04-10,1563718.88
2023-04-11,1940621.94
2023-04-12,2138719.93
2023-04-13,2330470.7
2023-04-14,2319736.92
2023-04-15,2270636.06
2023-04-16,1705595.98
2023-04-17,1704830.81
2023-04-18,2173103.6
2023-04-19,2263452.69
2023-04-20,2455068.73
2023-04-21,2142259.93
2023-04-22,2223252.87
2023-04-23,1701365.06
2023-04-24,1788613.37
